Keyword,Avg Monthly Searches,Competition,Top of Page Bid High
retinol vitamin c serum,5000,High,$2.72
retinol and vitamin c serum,5000,High,$2.72
vitamin c serum for wrinkles,5000,Low,$2.70
best vitamin c serum for over 50,500,High,$2.99
best vitamin c serum for mature skin,500,High,$2.73
strivectin super c retinol brighten & correct vitamin c serum,500,Medium,$2.33
